EXEMPLAR - COD.;titulo;autor;volume;EDIÇÃO;ANO;editora;COLEÇÃO;SÉRIE;ISBN;Nº EXEMPLAR;ASSUNTO;CLASSIFICAÇÃO;IDIOMA;OBSERVAÇÃO DO EXEMPLAR;;;;;;;;;;;;;;;;;;
E-100116;O totem da paz;Don Richardson;;;1978;Betânia;;;;1;"missões transculturais; experiência missionária";MEI-R521;;;;;;;;;;;;;;;;;;;;
E-100117;Vocacionados;Ronaldo Lidório;;;2014;Betânia;;;9,78854E+11;1;"missões; vocação; evangelismo";MEI-L715;;;;;;;;;;;;;;;;;;;;
E-100118;Catolicidade Reformada: a promessa de recuperação para a teologia e interpretação bíblica;"Michael Allen; Scott R. Swain";;;2021;Monergismo;;;9,78659E+12;1;?;TSEc-A425;;;;;;;;;;;;;;;;;;;;
E-100119;Evangelização: como criar uma cultura contagiante de evangelismo na igreja local;J. Mack Stiles;;;2015;Vida Nova;;9 Marcas: Construindo igrejas saudáveis;9,78853E+12;1;"evangelização; igreja local";I-S856;;;;;;;;;;;;;;;;;;;;
E-100120;Cumprindo a missão: levando o evangelho aos não alcançados e aos não engajados;"John Piper; David Mathis (org.)";;;2015;CPAD;;;9,78853E+12;1;"missões; evangelismo";MEI-C971;;;;;;;;;;;;;;;;;;;;
E-100121;Sola Scriptura: a doutrina reformada das Escrituras;Paulo Roberto Batista Anglada;;2.ed. 2013;2016 (reimpr.);Knox Publicações;;;9,78856E+12;1;"teologia sistemática; bibliologia; bíblia; escrituras sagradas";TSB-A589;;;;;;;;;;;;;;;;;;;;
E-100122;Missões do jeito que Deus quer;Mônica de Mesquita;;;2014;Cultura cristã;;;9,78858E+11;1;"missões; evangelização; cuidado missionário";MEI-M582;;;;;;;;;;;;;;;;;;;;
E-100123;Revitalização de igrejas: avaliando a vitalidade de igrejas locais ;Ronaldo Lidório;;;2016;Vida nova;;;9,78853E+12;1;"igreja local; eclesiologia";TSEc-L715;;;;;;;;;;;;;;;;;;;;
E-100124;Adoração reformada ;Terry L. Johnson;;2.ed;2018;Monergismo;;;9,78856E+12;1;"adoração; igreja; adoração congregacional; eclesiologia";TSEc-J66;;;;;;;;;;;;;;;;;;;;
E-100125;A igreja e a surpreendente ofensa do amor de Deus: reintroduzindo as doutrinas sobre a membresia e a disciplina da igreja;Jonathan Leeman;;;2013;Fiel;;;9,78858E+12;1;"disciplina eclesiástica; membresia; igreja; eclesiologia";TSEc-L485;;;;;;;;;;;;;;;;;;;;
E-100126;As 95 teses e a essência da igreja;Martinho Lutero;;1.ed 2016;2017;Vida;;;9,78854E+12;1;"igreja; história da igreja; reforma protestante; ";I-L973;;;;;;;;;;;;;;;;;;;;
E-100127;O evangelho e a evangelização;Mark Dever;;;2011;Fiel;;;9,7886E+12;1;"evangelismo; prática evangelística";MEI-D491;;;;;;;;;;;;;;;;;;;;
